policy,always_on
seed,42
hour,energy_wh,dropped_mbps,traffic_cell_1_mbps,traffic_cell_2_mbps,traffic_cell_3_mbps,traffic_cell_4_mbps,traffic_cell_5_mbps,cell_1_on,cell_2_on,cell_3_on,cell_4_on,cell_5_on
0,74.31284226956909,0.0,2.651197289107351,5.511237109166558,4.623071118144823,5.22195398782341,3.549468447684827,1,1,1,1,1
1,73.31645045414261,0.0,6.758795949725657,6.555583870857896,5.132061395122432,7.254482413936065,5.935018684504091,1,1,1,1,1
2,74.86706804833017,0.0,3.5369713770655116,5.993057870996986,3.3377911011739902,7.012456905446533,5.155704480859482,1,1,1,1,1
3,73.85168949777577,0.0,5.635084744526189,4.642950382808827,8.449892148964771,5.695750507479105,5.148153827290495,1,1,1,1,1
4,74.54951255554914,0.0,6.492432040124435,8.261317512207592,7.927587269829051,8.022164364292871,8.05834114711666,1,1,1,1,1
5,75.96336035901086,0.0,13.033295201740923,7.937169967230771,7.725514541856927,7.122454543504246,9.981958845150993,1,1,1,1,1
6,77.04621432299751,0.0,12.816801747172878,10.330962246421343,8.878544207806037,8.909894730348615,11.860042737380496,1,1,1,1,1
7,78.12249933371221,0.0,13.986508342406884,13.58630853661039,11.168980585422611,12.96432264613344,12.733371618281456,1,1,1,1,1
8,79.91376795828535,0.0,14.878520031726932,16.184000394165285,14.88833393581827,15.798969964412695,14.576300977246689,1,1,1,1,1
9,81.74248081590306,0.0,16.828238797379967,17.51257645167708,13.335688360288668,15.610657567285397,15.30925469141441,1,1,1,1,1
10,82.09175628739162,0.0,16.525545162412424,17.253016356445738,20.793183481367898,16.07163862751262,19.73985756808207,1,1,1,1,1
11,83.90511403012627,0.0,15.629450985151681,18.32542046841174,19.320696658593302,20.167635191101848,20.417643687969,1,1,1,1,1
12,84.4401303063427,0.0,21.33113816756786,19.046993552671132,18.819740111838875,21.460395459682317,19.361835047404778,1,1,1,1,1
13,85.38770805217922,0.0,17.448627353324156,17.73342557199304,18.161095427996777,20.994321488107527,20.28485147214113,1,1,1,1,1
14,84.55728020208656,0.0,21.125414405303545,18.88993840449494,20.061523079321436,20.99562448510268,19.125750617727533,1,1,1,1,1
15,85.4151155372231,0.0,19.908741003498115,17.67133864624999,18.269082835253148,18.231714740386632,16.60351123720521,1,1,1,1,1
16,83.95144437886049,0.0,18.77724582047027,16.86449617849366,17.82828909635448,18.764794176710925,18.696363210958996,1,1,1,1,1
17,83.98941361276744,0.0,17.580770217945574,16.053029030981154,15.403403375911692,16.0905635781872,12.87533113208394,1,1,1,1,1
18,82.00047651309379,0.0,11.546917893422732,11.795743613560102,12.446649183065942,15.240691291715779,12.630184727548784,1,1,1,1,1
19,79.7938748783559,0.0,11.74367489192122,15.09845659557213,11.787472057877148,13.975031136934174,10.632764639980246,1,1,1,1,1
20,79.72883066496692,0.0,10.147982045995834,8.658813051909931,9.880791009929968,12.239473436645884,7.104216315346397,1,1,1,1,1
21,77.38942705535815,0.0,9.618847287091716,9.225471204664558,7.561700088606413,5.857884291223092,8.89425901542774,1,1,1,1,1
22,76.3320249056944,0.0,6.13771372297329,7.662051563810302,7.24040343214778,10.400256923742726,6.717987886154845,1,1,1,1,1
23,75.87052515828137,0.0,6.13771372297329,7.662051563810302,7.24040343214778,10.400256923742726,6.717987886154845,1,1,1,1,1
